Episode,Total Reward,Boxes Placed on Target,Boxes Moved Away from Target,Total Waiting Moves,Game Lost
0,-13.600000000000001,0,0,0,2
1,-32.20000000000011,0,0,0,1
2,-16.199999999999996,0,0,0,2
3,-30.00000000000011,1,1,0,1
4,-16.299999999999997,0,0,0,2
5,-10.7,0,0,0,2
6,-30.80000000000009,0,0,0,1
7,-10.799999999999999,0,0,0,2
8,-10.5,0,0,0,2
9,-20.999999999999993,0,0,0,2
10,-23.099999999999994,0,0,0,2
11,-10.5,0,0,0,2
12,-10.299999999999999,0,0,0,2
13,-11.1,0,0,0,2
14,-10.6,0,0,0,2
15,-32.800000000000104,0,0,0,1
16,-10.600000000000001,0,0,0,2
17,-24.199999999999992,1,0,0,2
18,-17.499999999999993,1,0,0,2
19,-10.600000000000001,0,0,0,2
20,-11.5,0,0,0,2
21,-16.599999999999998,0,0,0,2
22,-24.499999999999993,0,0,0,2
23,-10.4,0,0,0,2
24,-10.799999999999999,0,0,0,2
25,-10.7,0,0,0,2
26,-31.200000000000106,1,0,0,1
27,-11.0,0,0,0,2
28,-11.3,0,0,0,2
29,-11.0,0,0,0,2
30,-12.1,0,0,0,2
31,-11.3,0,0,0,2
32,-10.700000000000001,0,0,0,2
33,-31.40000000000013,1,0,0,1
34,-30.400000000000087,1,0,0,1
35,-10.5,0,0,0,2
36,-10.700000000000001,0,0,0,2
37,-15.400000000000002,1,1,0,2
38,-11.2,0,0,0,2
39,-10.799999999999999,0,0,0,2
40,-11.2,0,0,0,2
41,-10.8,0,0,0,2
42,-31.20000000000011,0,0,0,1
43,-34.00000000000005,1,1,0,2
44,-11.0,0,0,0,2
45,-24.999999999999993,0,0,0,2
46,-14.9,0,0,0,2
47,-11.6,0,0,0,2
48,-11.0,0,0,0,2
49,-32.400000000000105,1,0,0,1
50,-11.6,0,0,0,2
51,-11.2,0,0,0,2
52,-31.800000000000107,0,0,0,1
53,-11.0,0,0,0,2
54,-11.4,0,0,0,2
55,-17.199999999999996,0,0,0,2
56,-10.8,0,0,0,2
57,-11.0,0,0,0,2
58,-10.9,0,0,0,2
59,-11.4,0,0,0,2
60,-22.79999999999999,0,0,0,2
61,-10.9,0,0,0,2
62,-10.8,0,0,0,2
63,-11.900000000000002,0,0,0,2
64,-11.1,0,0,0,2
65,-11.5,0,0,0,2
66,-14.600000000000001,0,0,0,2
67,-13.700000000000001,0,0,0,2
68,-10.799999999999999,0,0,0,2
69,-30.400000000000087,1,1,0,1
70,-24.29999999999999,0,0,0,2
71,-10.799999999999999,0,0,0,2
72,-18.89999999999999,1,0,0,2
73,-10.799999999999999,0,0,0,2
74,-10.9,0,0,0,2
75,-30.00000000000011,1,0,0,1
76,-12.4,0,0,0,2
77,-11.0,0,0,0,2
78,-11.0,0,0,0,2
79,-18.199999999999996,1,0,0,2
80,-10.9,0,0,0,2
81,-32.80000000000009,0,0,0,1
82,-10.9,0,0,0,2
83,-31.200000000000113,1,1,0,1
84,-11.8,0,0,0,2
85,-12.900000000000002,0,0,0,2
86,-11.1,0,0,0,2
87,-14.8,0,0,0,2
88,-11.1,0,0,0,2
89,-11.0,0,0,0,2
90,-10.799999999999999,0,0,0,2
91,-11.2,0,0,0,2
92,-31.000000000000036,0,0,0,2
93,-30.800000000000107,0,0,0,1
94,-11.3,0,0,0,2
95,-11.0,0,0,0,2
96,-28.60000000000008,1,0,0,1
97,-10.799999999999999,0,0,0,2
98,-28.80000000000009,1,0,0,1
99,-17.39999999999999,1,1,0,2
100,-31.800000000000104,1,1,0,1
101,-28.800000000000086,1,0,0,1
102,-13.600000000000001,1,1,0,2
103,-33.10000000000003,1,1,0,2
104,-29.800000000000093,1,0,0,1
105,-31.000000000000107,1,1,0,1
106,-29.200000000000085,1,0,0,1
107,-30.200000000000095,1,0,0,1
108,-30.00000000000009,1,0,0,1
109,-29.800000000000082,1,0,0,1
110,-20.399999999999995,1,1,0,2
111,-29.200000000000085,1,0,0,1
112,-28.400000000000098,1,0,0,1
113,-16.499999999999996,2,1,0,2
114,-11.0,0,0,0,2
115,-28.600000000000094,1,0,0,1
116,-15.199999999999998,0,0,0,2
117,-12.0,0,0,0,2
118,-29.600000000000115,1,1,0,1
119,-11.100000000000001,0,0,0,2
120,-11.1,0,0,0,2
121,-11.4,0,0,0,2
122,-29.600000000000104,1,0,0,1
123,-16.899999999999995,1,0,0,2
124,-11.399999999999999,0,0,0,2
125,-11.1,0,0,0,2
126,-31.80000000000011,0,0,0,1
127,-15.0,1,0,0,2
128,-31.400000000000116,1,1,0,1
129,-29.000000000000103,2,1,0,1
130,-11.4,0,0,0,2
131,-12.2,0,0,0,2
132,-11.4,0,0,0,2
133,-32.0000000000001,1,1,0,1
134,-11.0,0,0,0,2
135,-24.499999999999993,0,0,0,2
136,-10.799999999999999,0,0,0,2
137,-13.500000000000002,0,0,0,2
138,-15.2,0,0,0,2
139,-14.200000000000001,0,0,0,2
140,-31.2000000000001,1,0,0,1
141,-31.800000000000104,0,0,0,1
142,-11.0,0,0,0,2
143,-12.600000000000001,0,0,0,2
144,-33.10000000000003,2,1,0,2
145,-10.799999999999999,0,0,0,2
146,-22.599999999999994,1,1,0,2
147,-28.4000000000001,1,0,0,1
148,-28.60000000000008,1,0,0,1
149,-14.900000000000002,1,1,0,2
150,-11.9,0,0,0,2
151,-30.800000000000082,1,0,0,1
152,-32.20000000000009,1,0,0,1
153,-30.40000000000009,1,0,0,1
154,-36.20000000000005,1,0,0,2
155,-28.200000000000095,1,0,0,1
156,-17.299999999999994,1,0,0,2
157,-29.2000000000001,1,0,0,1
158,-30.600000000000115,1,0,0,1
159,-30.800000000000086,1,0,0,1
160,-28.600000000000097,1,0,0,1
161,-29.600000000000115,1,0,0,1
162,-19.299999999999997,1,0,0,2
163,-13.100000000000001,1,0,0,2
164,-14.100000000000001,1,0,0,2
165,-12.4,1,0,0,2
166,-28.400000000000006,1,1,0,2
167,-30.4000000000001,1,0,0,1
168,-17.699999999999996,1,0,0,2
169,-30.200000000000113,1,0,0,1
170,-11.6,1,1,0,2
171,-11.7,1,1,0,2
172,-20.49999999999999,1,0,0,2
173,-29.80000000000002,1,0,0,2
174,-30.400000000000105,1,0,0,1
175,-29.80000000000011,2,0,0,1
176,-12.200000000000001,1,0,0,2
177,-17.099999999999994,1,0,0,2
178,-28.400000000000087,1,0,0,1
179,-23.69999999999999,1,0,0,2
180,-22.39999999999999,1,0,0,2
181,-27.4,1,0,0,2
182,-12.8,1,0,0,2
183,-29.600000000000087,1,0,0,1
184,-20.49999999999999,1,0,0,2
185,-28.700000000000003,1,1,0,2
186,-14.5,1,0,0,2
187,-24.199999999999985,2,1,0,2
188,-17.89999999999999,1,0,0,2
189,-17.499999999999996,1,0,0,2
190,-28.200000000000085,2,0,0,1
191,-29.000000000000096,2,1,0,1
192,-18.999999999999993,1,0,0,2
193,-19.89999999999999,1,0,0,2
194,-13.400000000000002,1,0,0,2
195,-29.800000000000097,1,0,0,1
196,-30.800000000000097,2,0,0,1
197,-13.100000000000001,1,0,0,2
198,-22.499999999999986,1,0,0,2
199,-13.0,1,0,0,2
200,-30.400000000000095,1,0,0,1
201,-14.600000000000001,1,0,0,2
202,-13.200000000000001,1,0,0,2
203,-11.2,0,0,0,2
204,-11.9,1,0,0,2
205,-11.2,0,0,0,2
206,-14.200000000000001,0,0,0,2
207,-10.799999999999999,0,0,0,2
208,-13.100000000000001,1,0,0,2
209,-11.2,0,0,0,2
210,-22.999999999999993,1,0,0,2
211,-29.800000000000107,0,0,0,1
212,-20.79999999999999,0,0,0,2
213,-11.3,0,0,0,2
214,-16.399999999999995,1,0,0,2
215,-10.799999999999999,0,0,0,2
216,-29.400000000000095,2,1,0,1
217,-12.0,0,0,0,2
218,-33.80000000000011,1,1,0,1
219,-12.0,0,0,0,2
220,-11.2,0,0,0,2
221,-34.80000000000005,2,1,0,2
222,-13.800000000000002,1,0,0,2
223,-18.59999999999999,1,0,0,2
224,-20.799999999999994,0,0,0,2
225,-11.2,0,0,0,2
226,-11.0,0,0,0,2
227,-11.2,0,0,0,2
228,-11.6,0,0,0,2
229,-20.499999999999993,0,0,0,2
230,-28.80000000000009,2,0,0,1
231,-28.199999999999996,1,1,0,2
232,-20.199999999999996,1,0,0,2
233,-30.200000000000095,0,0,0,1
234,-31.800000000000097,1,0,0,1
235,-15.199999999999998,1,0,0,2
236,-29.6000000000001,1,0,0,1
237,-29.400000000000095,2,0,0,1
238,-11.9,1,1,0,2
239,-29.40000000000002,1,0,0,2
240,-23.39999999999999,1,0,0,2
241,-24.099999999999987,1,0,0,2
242,-26.499999999999996,1,0,0,2
243,-20.199999999999996,1,0,0,2
244,-16.799999999999994,1,0,0,2
245,-19.599999999999994,0,0,0,2
246,-13.400000000000002,1,0,0,2
247,-17.499999999999996,1,1,0,2
248,-11.399999999999999,0,0,0,2
249,-12.9,1,0,0,2
250,-13.600000000000001,0,0,0,2
251,-12.0,0,0,0,2
252,-20.499999999999993,1,0,0,2
253,-21.599999999999998,1,0,0,2
254,-11.6,0,0,0,2
255,-28.6000000000001,2,1,0,1
256,-30.400000000000098,2,1,0,1
257,-18.69999999999999,1,0,0,2
258,-23.999999999999993,0,0,0,2
259,-11.5,0,0,0,2
260,-18.999999999999993,0,0,0,2
261,-11.1,0,0,0,2
262,-13.500000000000002,1,0,0,2
263,-26.499999999999986,1,0,0,2
264,-28.199999999999996,2,1,0,2
265,-11.6,0,0,0,2
266,-28.000000000000092,1,0,0,1
267,-20.999999999999993,1,0,0,2
268,-13.8,1,0,0,2
269,-13.700000000000001,0,0,0,2
270,-13.700000000000001,1,0,0,2
271,-11.6,0,0,0,2
272,-17.999999999999993,1,0,0,2
273,-12.0,0,0,0,2
274,-16.4,1,0,0,2
275,-29.4000000000001,0,0,0,1
276,-29.000000000000092,2,1,0,1
277,-18.999999999999993,1,0,0,2
278,-10.9,0,0,0,2
279,-16.599999999999994,1,0,0,2
280,-11.2,0,0,0,2
281,-28.600000000000097,1,0,0,1
282,-25.4,1,0,0,2
283,-19.299999999999994,1,0,0,2
284,-29.60000000000012,1,0,0,1
285,-33.50000000000005,1,0,0,2
286,-28.000000000000007,0,0,0,2
287,-16.0,2,0,0,2
288,-14.6,0,0,0,2
289,-13.300000000000002,1,0,0,2
290,-23.299999999999994,1,1,0,2
291,-10.799999999999999,0,0,0,2
292,-11.3,0,0,0,2
293,-18.39999999999999,1,0,0,2
294,-24.499999999999993,1,0,0,2
295,-12.600000000000001,1,0,0,2
296,-19.09999999999999,1,1,0,2
297,-29.6000000000001,0,0,0,1
298,-27.500000000000004,1,0,0,2
299,-30.40000000000009,1,0,0,1
300,-11.0,0,0,0,2
301,-31.400000000000123,0,0,0,1
302,-19.199999999999996,0,0,0,2
303,-30.000000000000078,1,0,0,1
304,-30.400000000000105,1,0,0,1
305,-26.099999999999994,1,1,0,2
306,-28.200000000000085,1,0,0,1
307,-30.40000000000012,1,1,0,1
308,-11.1,0,0,0,2
309,-30.000000000000085,1,0,0,1
310,-18.89999999999999,1,0,0,2
311,-11.8,0,0,0,2
312,-28.00000000000011,2,0,0,1
313,-32.40000000000012,0,0,0,1
314,-10.9,0,0,0,2
315,-12.4,0,0,0,2
316,-13.8,0,0,0,2
317,-29.000000000000078,2,0,0,1
318,-23.199999999999992,2,0,0,2
319,-12.0,0,0,0,2
320,-11.799999999999999,0,0,0,2
321,-30.600000000000104,0,0,0,1
322,-11.4,0,0,0,2
323,-18.599999999999994,1,0,0,2
324,-19.39999999999999,1,1,0,2
325,-11.2,0,0,0,2
326,-30.800000000000107,0,0,0,1
327,-11.2,1,0,0,2
328,-13.100000000000001,1,0,0,2
